_date,total_views,unique_views
2023-01-30,23,5
2023-01-31,52,7
2023-02-01,30,8
2023-02-02,42,9
2023-02-03,39,10
2023-02-04,38,8
2023-02-05,6,2
2023-02-06,71,19
2023-02-07,44,16
2023-02-08,80,15
2023-02-09,128,16
2023-02-10,23,7
2023-02-11,91,8
2023-02-12,27,3
2023-02-13,60,10
2023-02-14,64,16
2023-02-15,72,12
2023-02-16,81,11
2023-02-17,16,5
2023-02-18,8,6
2023-02-19,66,11
2023-02-20,83,10
2023-02-21,44,12
2023-02-22,27,12
2023-02-23,24,12
2023-02-24,57,10
2023-02-25,20,8
2023-02-26,79,12
2023-02-27,68,9
2023-02-28,19,4
2023-03-01,63,15
2023-03-02,26,9
2023-03-03,19,13
2023-03-04,7,5
2023-03-05,28,4
2023-03-06,25,6
2023-03-07,25,9
2023-03-08,58,15
2023-03-09,38,13
2023-03-10,53,10
2023-03-11,55,7
2023-03-12,54,8
2023-03-13,71,15
2023-03-14,69,12
2023-03-15,179,14
2023-03-16,78,17
2023-03-17,115,15
2023-03-18,43,12
2023-03-19,16,8
